MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,SuggestedFile,Confidence,Reason
Field|ModDbDesignScrollMultiplier|L118,Field,ModDbDesignScrollMultiplier,ModDbDesignScrollMultiplier,118,118,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|LoadMoreScrollThreshold|L119,Field,LoadMoreScrollThreshold,LoadMoreScrollThreshold,119,119,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|HoverOverlayOpacity|L120,Field,HoverOverlayOpacity,HoverOverlayOpacity,120,120,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|SelectionOverlayOpacity|L121,Field,SelectionOverlayOpacity,SelectionOverlayOpacity,121,121,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModInfoPanelHorizontalOverhang|L124,Field,ModInfoPanelHorizontalOverhang,ModInfoPanelHorizontalOverhang,124,124,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|DefaultModInfoPanelLeft|L125,Field,DefaultModInfoPanelLeft,DefaultModInfoPanelLeft,125,125,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|DefaultModInfoPanelTop|L126,Field,DefaultModInfoPanelTop,DefaultModInfoPanelTop,126,126,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|DefaultModInfoPanelRightMargin|L127,Field,DefaultModInfoPanelRightMargin,DefaultModInfoPanelRightMargin,127,127,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|PresetDirectoryName|L130,Field,PresetDirectoryName,PresetDirectoryName,130,130,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModListDirectoryName|L131,Field,ModListDirectoryName,ModListDirectoryName,131,131,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|CloudModListCacheDirectoryName|L132,Field,CloudModListCacheDirectoryName,CloudModListCacheDirectoryName,132,132,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|RebuiltModListDirectoryName|L133,Field,RebuiltModListDirectoryName,RebuiltModListDirectoryName,133,133,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|AutomaticConfigMaxWordDistance|L134,Field,AutomaticConfigMaxWordDistance,AutomaticConfigMaxWordDistance,134,134,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ConnectivityTestHttpClient|L136,Field,ConnectivityTestHttpClient,ConnectivityTestHttpClient,136,139,4,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ExperimentalModDebugLogPrefixes|L141,Field,ExperimentalModDebugLogPrefixes,ExperimentalModDebugLogPrefixes,141,147,7,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ExperimentalModDebugLogExtensions|L149,Field,ExperimentalModDebugLogExtensions,ExperimentalModDebugLogExtensions,149,153,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ExperimentalModDebugIgnoredLinePhrases|L155,Field,ExperimentalModDebugIgnoredLinePhrases,ExperimentalModDebugIgnoredLinePhrases,155,163,9,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|SupportedConfigExtensions|L165,Field,SupportedConfigExtensions,SupportedConfigExtensions,165,170,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|SummarizableLinePrefixes|L173,Field,SummarizableLinePrefixes,SummarizableLinePrefixes,173,183,11,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isQuestPdfLicenseInitialized|L185,Field,_isQuestPdfLicenseInitialized,_isQuestPdfLicenseInitialized,185,185,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|PatchAssetMissingRegex|L187,Field,PatchAssetMissingRegex,PatchAssetMissingRegex,187,189,3,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|StandardPresetLoadOptions|L191,Field,StandardPresetLoadOptions,StandardPresetLoadOptions,191,191,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModListLoadOptions|L192,Field,ModListLoadOptions,ModListLoadOptions,192,192,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|BoundModProperty|L198,Field,BoundModProperty,BoundModProperty,198,202,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|BoundModHandlerProperty|L204,Field,BoundModHandlerProperty,BoundModHandlerProperty,204,208,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|RowIsHoveredProperty|L210,Field,RowIsHoveredProperty,RowIsHoveredProperty,210,214,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|IsDataBackupInProgressProperty|L216,Field,IsDataBackupInProgressProperty,IsDataBackupInProgressProperty,216,221,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|DataBackupProgressProperty|L223,Field,DataBackupProgressProperty,DataBackupProgressProperty,223,228,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|DataBackupStatusMessageProperty|L230,Field,DataBackupStatusMessageProperty,DataBackupStatusMessageProperty,230,235,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|IsModlistInstallInProgressProperty|L237,Field,IsModlistInstallInProgressProperty,IsModlistInstallInProgressProperty,237,242,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModlistInstallProgressProperty|L244,Field,ModlistInstallProgressProperty,ModlistInstallProgressProperty,244,249,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModlistInstallStatusMessageProperty|L251,Field,ModlistInstallStatusMessageProperty,ModlistInstallStatusMessageProperty,251,256,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|ModlistDownloadSpeedProperty|L258,Field,ModlistDownloadSpeedProperty,ModlistDownloadSpeedProperty,258,263,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|HasModlistDownloadSpeedProperty|L265,Field,HasModlistDownloadSpeedProperty,HasModlistDownloadSpeedProperty,265,270,6,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|IsDataBackupInProgress|L272,Property,IsDataBackupInProgress,IsDataBackupInProgress,272,276,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|DataBackupProgress|L278,Property,DataBackupProgress,DataBackupProgress,278,282,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|DataBackupStatusMessage|L284,Property,DataBackupStatusMessage,DataBackupStatusMessage,284,288,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|IsModlistInstallInProgress|L290,Property,IsModlistInstallInProgress,IsModlistInstallInProgress,290,294,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|ModlistInstallProgress|L296,Property,ModlistInstallProgress,ModlistInstallProgress,296,300,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|ModlistInstallStatusMessage|L302,Property,ModlistInstallStatusMessage,ModlistInstallStatusMessage,302,306,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|ModlistDownloadSpeed|L308,Property,ModlistDownloadSpeed,ModlistDownloadSpeed,308,312,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|HasModlistDownloadSpeed|L314,Property,HasModlistDownloadSpeed,HasModlistDownloadSpeed,314,318,5,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_backupSemaphore|L325,Field,_backupSemaphore,_backupSemaphore,325,325,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_cloudStoreLock|L326,Field,_cloudStoreLock,_cloudStoreLock,326,326,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_developerProfileMenuItems|L329,Field,_developerProfileMenuItems,_developerProfileMenuItems,329,329,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_gameProfileMenuItems|L330,Field,_gameProfileMenuItems,_gameProfileMenuItems,330,330,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_installedColumnVisibilityPreferences|L331,Field,_installedColumnVisibilityPreferences,_installedColumnVisibilityPreferences,331,331,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modCompatibilityCommentsService|L334,Field,_modCompatibilityCommentsService,_modCompatibilityCommentsService,334,334,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modDatabaseService|L335,Field,_modDatabaseService,_modDatabaseService,335,335,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modUpdateService|L336,Field,_modUpdateService,_modUpdateService,336,336,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_dataBackupService|L337,Field,_dataBackupService,_dataBackupService,337,337,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modActivityLoggingService|L338,Field,_modActivityLoggingService,_modActivityLoggingService,338,338,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_userConfiguration|L339,Field,_userConfiguration,_userConfiguration,339,339,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_serverTargetService|L340,Field,_serverTargetService,_serverTargetService,340,340,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_syncEngine|L341,Field,_syncEngine,_syncEngine,341,341,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_traceListener|L342,Field,_traceListener,_traceListener,342,342,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_selectedModPropertyHandlers|L345,Field,_selectedModPropertyHandlers,_selectedModPropertyHandlers,345,345,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_selectedMods|L346,Field,_selectedMods,_selectedMods,346,346,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_selectedLocalModlists|L347,Field,_selectedLocalModlists,_selectedLocalModlists,347,347,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_selectedCloudModlist|L348,Field,_selectedCloudModlist,_selectedCloudModlist,348,348,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_selectionAnchor|L349,Field,_selectionAnchor,_selectionAnchor,349,349,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_cloudModlistsLoaded|L352,Field,_cloudModlistsLoaded,_cloudModlistsLoaded,352,352,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_firebaseMigrationAttempted|L353,Field,_firebaseMigrationAttempted,_firebaseMigrationAttempted,353,353,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_cloudModlistStore|L354,Field,_cloudModlistStore,_cloudModlistStore,354,354,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_currentModsView|L357,Field,_currentModsView,_currentModsView,357,357,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modsScrollViewer|L358,Field,_modsScrollViewer,_modsScrollViewer,358,358,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modsScrollViewerSource|L359,Field,_modsScrollViewerSource,_modsScrollViewerSource,359,359,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modsCollection|L360,Field,_modsCollection,_modsCollection,360,360,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_customShortcutPath|L363,Field,_customShortcutPath,_customShortcutPath,363,363,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_dataDirectory|L364,Field,_dataDirectory,_dataDirectory,364,364,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_gameDirectory|L365,Field,_gameDirectory,_gameDirectory,365,365,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_gameSessionMonitor|L368,Field,_gameSessionMonitor,_gameSessionMonitor,368,368,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modsWatcherTimer|L369,Field,_modsWatcherTimer,_modsWatcherTimer,369,369,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modUsagePromptData|L370,Field,_modUsagePromptData,_modUsagePromptData,370,370,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_votesCacheWatcher|L371,Field,_votesCacheWatcher,_votesCacheWatcher,371,371,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_hasAppliedInitialModInfoPanelPosition|L374,Field,_hasAppliedInitialModInfoPanelPosition,_hasAppliedInitialModInfoPanelPosition,374,374,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isApplyingMultiToggle|L375,Field,_isApplyingMultiToggle,_isApplyingMultiToggle,375,375,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isApplyingPreset|L376,Field,_isApplyingPreset,_isApplyingPreset,376,376,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isAutomaticRefreshRunning|L377,Field,_isAutomaticRefreshRunning,_isAutomaticRefreshRunning,377,377,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isCloudModlistRefreshInProgress|L378,Field,_isCloudModlistRefreshInProgress,_isCloudModlistRefreshInProgress,378,378,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isDependencyResolutionRefreshPending|L379,Field,_isDependencyResolutionRefreshPending,_isDependencyResolutionRefreshPending,379,379,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isDraggingModInfoPanel|L380,Field,_isDraggingModInfoPanel,_isDraggingModInfoPanel,380,380,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isInitializing|L381,Field,_isInitializing,_isInitializing,381,381,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isUpdatingModlistsTabSelection|L382,Field,_isUpdatingModlistsTabSelection,_isUpdatingModlistsTabSelection,382,382,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isUpdatingMiddleTabSelection|L383,Field,_isUpdatingMiddleTabSelection,_isUpdatingMiddleTabSelection,383,383,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isModUpdateInProgress|L384,Field,_isModUpdateInProgress,_isModUpdateInProgress,384,384,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isModUsageDialogOpen|L385,Field,_isModUsageDialogOpen,_isModUsageDialogOpen,385,385,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isRefreshingAfterModlistLoad|L386,Field,_isRefreshingAfterModlistLoad,_isRefreshingAfterModlistLoad,386,386,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isWindowActive|L387,Field,_isWindowActive,_isWindowActive,387,387,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_refreshAfterModlistLoadPending|L388,Field,_refreshAfterModlistLoadPending,_refreshAfterModlistLoadPending,388,388,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_localModlistsLoaded|L389,Field,_localModlistsLoaded,_localModlistsLoaded,389,389,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_suppressSortPreferenceSave|L390,Field,_suppressSortPreferenceSave,_suppressSortPreferenceSave,390,390,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_isModBrowserWatcherSubscribed|L391,Field,_isModBrowserWatcherSubscribed,_isModBrowserWatcherSubscribed,391,391,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modInfoDragOffset|L394,Field,_modInfoDragOffset,_modInfoDragOffset,394,394,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_recentLocalModBackupDirectory|L397,Field,_recentLocalModBackupDirectory,_recentLocalModBackupDirectory,397,397,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_recentLocalModBackupModNames|L398,Field,_recentLocalModBackupModNames,_recentLocalModBackupModNames,398,398,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modlistInstallCompletedSteps|L399,Field,_modlistInstallCompletedSteps,_modlistInstallCompletedSteps,399,399,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modlistInstallTotalSteps|L400,Field,_modlistInstallTotalSteps,_modlistInstallTotalSteps,400,400,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_viewModel|L403,Field,_viewModel,_viewModel,403,403,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_modBrowserViewModel|L404,Field,_modBrowserViewModel,_modBrowserViewModel,404,404,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Field|_customThemeMenuItems|L405,Field,_customThemeMenuItems,_customThemeMenuItems,405,405,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Constructor|MainWindow()|L411,Constructor,MainWindow,MainWindow(),411,494,84,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
Property|RefreshModsUiCommand|L500,Property,RefreshModsUiCommand,RefreshModsUiCommand,500,500,1,MainWindow.Core.cs,High,"Shared state, dependency fields, WPF dependency properties, constructor, or delegate kept centralized during first-pass decomposition."
"Method|ReportStatus(string,bool)|L502",Method,ReportStatus,"ReportStatus(string,bool)",502,505,4,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
Method|InitializeColumnVisibilityMenu()|L511,Method,InitializeColumnVisibilityMenu,InitializeColumnVisibilityMenu(),511,523,13,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
"Method|RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)|L525",Method,RegisterColumnMenuItem,"RegisterColumnMenuItem(MenuItem?,InstalledModsColumn)",525,537,13,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
"Method|InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)|L539",Method,InstalledModsColumnMenuItem_OnChecked,"InstalledModsColumnMenuItem_OnChecked(object,RoutedEventArgs)",539,547,9,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
"Method|ApplyInstalledColumnVisibility(InstalledModsColumn,bool)|L549",Method,ApplyInstalledColumnVisibility,"ApplyInstalledColumnVisibility(InstalledModsColumn,bool)",549,569,21,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
"Method|NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)|L571",Method,NotifyViewModelOfInstalledColumnVisibility,"NotifyViewModelOfInstalledColumnVisibility(InstalledModsColumn,bool)",571,574,4,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
Method|ApplyColumnVisibilityPreferencesToViewModel()|L576,Method,ApplyColumnVisibilityPreferencesToViewModel,ApplyColumnVisibilityPreferencesToViewModel(),576,582,7,MainWindow.ColumnVisibility.cs,High,Installed-mod column visibility commands and helpers.
"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590",Method,MainWindow_Loaded,"MainWindow_Loaded(object,RoutedEventArgs)",590,621,32,MainWindow.Startup.cs,High,"Window loading, migration, and startup cache preparation."
Method|MigrateLegacyRebuiltModlistsIfNeeded()|L623,Method,MigrateLegacyRebuiltModlistsIfNeeded,MigrateLegacyRebuiltModlistsIfNeeded(),623,669,47,MainWindow.Startup.cs,High,"Window loading, migration, and startup cache preparation."
Method|PromptCacheRefreshIfNeededAsync()|L671,Method,PromptCacheRefreshIfNeededAsync,PromptCacheRefreshIfNeededAsync(),671,691,21,MainWindow.Startup.cs,High,"Window loading, migration, and startup cache preparation."
